Date, Open, High, Low, Close
06/25/21, 7109.97, 7139.08, 7109.79, 7136.07
06/24/21, 7074.06, 7119.41, 7070.90, 7109.97
06/23/21, 7090.01, 7129.40, 7074.06, 7074.06
06/22/21, 7062.29, 7098.67, 7061.13, 7090.01
06/21/21, 7017.47, 7065.05, 6948.63, 7062.29
06/18/21, 7153.43, 7154.63, 7008.74, 7017.47
06/17/21, 7184.95, 7184.95, 7132.96, 7153.43
06/16/21, 7172.48, 7217.54, 7169.21, 7184.95
06/15/21, 7146.68, 7189.63, 7142.71, 7172.48
06/14/21, 7134.06, 7188.26, 7131.79, 7146.68
06/11/21, 7088.18, 7140.70, 7088.18, 7134.06
06/10/21, 7081.01, 7117.74, 7080.02, 7088.18
06/09/21, 7095.09, 7095.72, 7046.02, 7081.01
06/08/21, 7077.22, 7120.73, 7074.94, 7095.09
06/07/21, 7069.04, 7098.31, 7042.19, 7077.22
06/04/21, 7064.35, 7071.81, 7039.74, 7069.04
06/03/21, 7108.00, 7108.04, 7013.85, 7064.35
06/02/21, 7080.46, 7122.54, 7074.06, 7108.00
06/01/21, 7022.61, 7118.03, 7022.61, 7080.46
05/28/21, 7019.67, 7054.91, 7019.58, 7022.61
05/27/21, 7026.93, 7044.01, 7008.53, 7019.67
05/26/21, 7029.79, 7050.88, 6998.19, 7026.93
05/25/21, 7051.59, 7067.60, 7029.79, 7029.79
05/24/21, 7018.05, 7054.63, 7013.51, 7051.59
05/21/21, 7019.79, 7028.17, 6973.31, 7018.05
05/20/21, 6950.20, 7019.79, 6926.85, 7019.79
05/19/21, 7034.24, 7034.24, 6897.06, 6950.20
05/18/21, 7032.85, 7102.57, 7030.37, 7034.24
05/17/21, 7043.61, 7066.76, 6989.11, 7032.85
05/14/21, 6963.33, 7048.67, 6963.33, 7043.61
05/13/21, 7004.63, 7004.63, 6823.60, 6963.33
05/12/21, 6947.99, 7028.10, 6945.33, 7004.63
05/11/21, 7123.68, 7123.68, 6912.36, 6947.99
05/10/21, 7129.71, 7164.18, 7104.40, 7123.68
05/07/21, 7076.17, 7143.46, 7076.17, 7129.71
05/06/21, 7039.30, 7076.17, 7026.75, 7076.17
05/05/21, 6923.17, 7047.75, 6923.17, 7039.30
05/04/21, 6969.81, 7034.26, 6912.28, 6923.17
04/30/21, 6961.48, 7009.47, 6946.04, 6969.81
04/29/21, 6963.67, 7019.76, 6953.87, 6961.48
04/28/21, 6944.97, 6986.70, 6944.06, 6963.67
04/27/21, 6963.12, 6975.07, 6929.77, 6944.97
04/26/21, 6938.56, 6971.52, 6913.39, 6963.12
04/23/21, 6938.24, 6938.56, 6891.75, 6938.56
04/22/21, 6895.29, 6941.11, 6889.32, 6938.24
04/21/21, 6859.87, 6914.88, 6859.61, 6895.29
04/20/21, 7000.08, 7001.27, 6857.07, 6859.87
04/19/21, 7019.53, 7040.26, 6979.23, 7000.08
04/16/21, 6983.50, 7037.65, 6983.50, 7019.53
04/15/21, 6939.58, 6994.90, 6939.26, 6983.50
04/14/21, 6890.49, 6942.33, 6880.67, 6939.58
04/13/21, 6889.12, 6895.13, 6859.72, 6890.49
04/12/21, 6915.75, 6916.08, 6853.75, 6889.12
04/09/21, 6942.22, 6949.56, 6906.37, 6915.75
04/08/21, 6885.32, 6942.22, 6884.79, 6942.22
04/07/21, 6823.55, 6898.38, 6823.55, 6885.32
04/06/21, 6737.30, 6843.73, 6737.30, 6823.55
04/05/21, 6713.63, 6766.52, 6713.63, 6737.30
04/02/21, 6713.63, 6766.52, 6713.63, 6737.30
04/01/21, 6713.63, 6766.52, 6713.63, 6737.30
03/31/21, 6772.12, 6775.67, 6713.63, 6713.63
03/30/21, 6736.17, 6792.23, 6729.46, 6772.12
03/29/21, 6740.59, 6758.78, 6705.42, 6736.17
03/26/21, 6674.83, 6742.14, 6674.83, 6740.59
03/25/21, 6712.89, 6729.92, 6618.61, 6674.83
03/24/21, 6699.19, 6722.61, 6649.37, 6712.89
03/23/21, 6726.10, 6726.10, 6664.76, 6699.19
03/22/21, 6708.71, 6732.67, 6650.96, 6726.10
03/19/21, 6779.68, 6779.68, 6664.56, 6708.71
03/18/21, 6762.67, 6791.76, 6740.53, 6779.68
03/17/21, 6803.61, 6805.73, 6753.82, 6762.67
03/16/21, 6749.70, 6812.78, 6749.64, 6803.61
03/15/21, 6761.47, 6804.91, 6723.67, 6749.70
03/12/21, 6736.96, 6766.44, 6709.00, 6761.47
03/11/21, 6725.60, 6755.32, 6699.34, 6736.96
03/10/21, 6730.34, 6740.77, 6677.02, 6725.60
03/09/21, 6719.13, 6786.80, 6689.90, 6730.34
03/08/21, 6630.52, 6726.40, 6612.74, 6719.13
03/05/21, 6650.88, 6710.80, 6560.79, 6630.52
03/04/21, 6675.47, 6675.47, 6581.19, 6650.88
03/03/21, 6613.75, 6705.30, 6613.75, 6675.47
03/02/21, 6588.53, 6660.82, 6560.91, 6613.75
03/01/21, 6483.43, 6612.74, 6483.43, 6588.53
02/26/21, 6651.96, 6651.96, 6465.57, 6483.43
02/25/21, 6658.97, 6702.88, 6644.68, 6651.96
02/24/21, 6625.94, 6669.86, 6572.28, 6658.97
02/23/21, 6612.24, 6675.42, 6555.88, 6625.94
02/22/21, 6624.02, 6624.71, 6545.93, 6612.24
02/19/21, 6617.15, 6646.16, 6600.59, 6624.02
02/18/21, 6710.90, 6721.76, 6591.43, 6617.15
02/17/21, 6748.86, 6760.29, 6701.59, 6710.90
02/16/21, 6756.11, 6799.92, 6736.85, 6748.86
02/15/21, 6589.79, 6775.37, 6589.79, 6756.11
02/12/21, 6528.72, 6589.79, 6485.13, 6589.79
02/11/21, 6524.36, 6554.15, 6514.92, 6528.72
02/10/21, 6531.56, 6577.00, 6481.02, 6524.36
02/09/21, 6523.53, 6540.97, 6501.02, 6531.56
02/08/21, 6489.33, 6567.70, 6489.33, 6523.53
02/05/21, 6503.72, 6518.65, 6457.60, 6489.33
02/04/21, 6507.82, 6553.37, 6478.15, 6503.72
02/03/21, 6516.65, 6573.10, 6489.51, 6507.82
02/02/21, 6466.42, 6523.51, 6466.42, 6516.65
02/01/21, 6407.46, 6495.56, 6407.46, 6466.42
01/29/21, 6526.15, 6526.15, 6397.24, 6407.46
01/28/21, 6567.37, 6567.37, 6439.55, 6526.15
01/27/21, 6654.01, 6661.31, 6505.84, 6567.37
01/26/21, 6638.85, 6702.35, 6636.34, 6654.01
01/25/21, 6695.07, 6714.61, 6610.26, 6638.85
01/22/21, 6715.42, 6715.66, 6651.71, 6695.07
01/21/21, 6740.39, 6776.92, 6715.42, 6715.42
01/20/21, 6712.95, 6751.81, 6697.46, 6740.39
01/19/21, 6720.65, 6770.66, 6697.67, 6712.95
01/18/21, 6735.71, 6741.47, 6709.33, 6720.65
01/15/21, 6801.96, 6802.05, 6676.55, 6735.71
01/14/21, 6745.52, 6801.96, 6736.78, 6801.96
01/13/21, 6754.11, 6772.57, 6736.01, 6745.52
01/12/21, 6798.48, 6816.65, 6738.21, 6754.11
01/11/21, 6873.26, 6873.26, 6768.72, 6798.48
01/08/21, 6856.96, 6886.34, 6836.08, 6873.26
01/07/21, 6841.86, 6903.61, 6795.11, 6856.96
01/06/21, 6612.25, 6859.14, 6611.87, 6841.86
01/05/21, 6571.88, 6622.77, 6544.25, 6612.25
01/04/21, 6460.52, 6662.66, 6460.52, 6571.88
12/31/20, 6555.82, 6555.82, 6439.41, 6460.52
12/30/20, 6602.65, 6622.98, 6552.46, 6555.82
12/29/20, 6502.11, 6676.60, 6502.11, 6602.65
12/24/20, 6495.75, 6530.28, 6479.59, 6502.11
12/23/20, 6453.16, 6497.28, 6431.21, 6495.75
12/22/20, 6416.32, 6457.47, 6382.61, 6453.16
12/21/20, 6529.18, 6529.18, 6315.34, 6416.32
12/18/20, 6551.06, 6604.54, 6518.25, 6529.18
12/17/20, 6570.91, 6601.63, 6551.06, 6551.06
12/16/20, 6513.32, 6598.42, 6513.32, 6570.91
12/15/20, 6531.83, 6558.24, 6484.04, 6513.32
12/14/20, 6546.75, 6583.70, 6524.70, 6531.83
12/11/20, 6599.76, 6607.44, 6520.54, 6546.75
12/10/20, 6564.29, 6640.74, 6561.11, 6599.76
12/09/20, 6558.82, 6623.03, 6558.82, 6564.29
12/08/20, 6555.39, 6567.59, 6518.37, 6558.82
12/07/20, 6550.23, 6601.11, 6519.82, 6555.39
12/04/20, 6490.27, 6559.18, 6489.75, 6550.23
12/03/20, 6463.39, 6491.49, 6430.27, 6490.27
12/02/20, 6384.73, 6468.64, 6367.51, 6463.39
12/01/20, 6266.19, 6400.24, 6263.60, 6384.73
11/30/20, 6367.58, 6404.02, 6266.19, 6266.19
11/27/20, 6362.93, 6375.91, 6302.22, 6367.58
11/26/20, 6391.09, 6412.65, 6349.53, 6362.93
11/25/20, 6432.17, 6468.73, 6375.25, 6391.09
11/24/20, 6333.84, 6432.42, 6333.72, 6432.17
11/23/20, 6351.45, 6392.08, 6325.24, 6333.84
11/20/20, 6334.35, 6386.70, 6324.60, 6351.45
11/19/20, 6385.24, 6385.24, 6314.26, 6334.35
11/18/20, 6365.33, 6395.91, 6326.74, 6385.24
11/17/20, 6421.29, 6424.53, 6308.99, 6365.33
11/16/20, 6316.39, 6463.51, 6316.39, 6421.29
11/13/20, 6338.94, 6338.97, 6280.40, 6316.39
11/12/20, 6382.10, 6382.10, 6295.79, 6338.94
11/11/20, 6296.85, 6397.28, 6293.21, 6382.10
11/10/20, 6186.29, 6307.00, 6180.47, 6296.85
11/09/20, 5910.02, 6258.31, 5910.02, 6186.29
11/06/20, 5906.18, 5950.22, 5858.48, 5910.02
11/05/20, 5883.26, 5933.05, 5881.87, 5906.18
11/04/20, 5786.77, 5885.67, 5711.21, 5883.26
11/03/20, 5654.97, 5787.61, 5654.97, 5786.77
11/02/20, 5577.27, 5665.30, 5554.73, 5654.97
10/30/20, 5581.75, 5593.40, 5534.08, 5577.27
10/29/20, 5582.80, 5616.58, 5534.66, 5581.75
10/28/20, 5728.99, 5728.99, 5525.52, 5582.80
10/27/20, 5792.01, 5806.23, 5728.18, 5728.99
10/26/20, 5860.28, 5868.36, 5782.37, 5792.01
10/23/20, 5785.65, 5885.38, 5781.78, 5860.28
10/22/20, 5776.50, 5796.44, 5716.40, 5785.65
