negative_sentiments,positive_sentiments,Date
0.6965317919075145,0.30346820809248554,2020-03-29
0.632952691680261,0.367047308319739,2020-03-30
0.6437125748502994,0.3562874251497006,2020-03-31
0.6557377049180327,0.3442622950819672,2020-04-01
0.6881720430107527,0.3118279569892473,2020-04-02
0.6672158154859967,0.33278418451400327,2020-04-03
0.6268412438625205,0.37315875613747956,2020-04-04
0.6888168557536467,0.31118314424635335,2020-04-05
0.6299212598425197,0.3700787401574803,2020-04-06
0.7019867549668874,0.2980132450331126,2020-04-07
0.6649916247906198,0.33500837520938026,2020-04-08
0.646481178396072,0.353518821603928,2020-04-09
0.6592465753424658,0.3407534246575342,2020-04-10
0.6769706336939721,0.3230293663060278,2020-04-11
0.6998368678629691,0.300163132137031,2020-04-12
0.7089678510998308,0.2910321489001692,2020-04-13
0.6515151515151515,0.3484848484848485,2020-04-14
0.6449044585987261,0.35509554140127386,2020-04-15
